;Complete mode;"Class = 2.0; Methods = 1.5";"Class = 2.0; Methods = 2.0"
akka.net;0,099;0,115;0,117
AutoMapper;0,194;0,189;0,19
CefSharp;0,573;0,57;0,57
corefx;0,167;0,125;0,125
EntityFramework;0,059;0,07;0,07
gitextensions;0,338;0,35;0,353
Glimpse;0,202;0,234;0,225
Hearthstone-Deck-Tracker;0,109;0,112;0,113
ILSpy;0,213;0,204;0,199
MahApps.Metro;0,573;0,571;0,571
Mvc;0,153;0,154;0,161
Nancy;0,385;0,423;0,429
NLog;0,257;0,261;0,261
OpenRA;0,145;0,188;0,17
orleans;0,167;0,556;0,306
roslyn;0,249;0,192;0,177
ShareX;0,144;0,159;0,153
SparkleShare;0,441;0,442;0,451
VsVim;0,055;0,055;0,056
Wox;0,349;0,357;0,359
