"";"eigenvalue";"percentage of variance";"cumulative percentage of variance"
"comp 1";2,46166693303836;20,5138911086531;20,5138911086531
"comp 2";1,20525089008305;10,0437574173588;30,5576485260119
"comp 3";1,1583177070385;9,65264755865417;40,210296084666
"comp 4";1,1416886114686;9,51407176223831;49,7243678469044
"comp 5";1,0291539009487;8,57628250790583;58,3006503548102
"comp 6";0,965215631164655;8,0434635930388;66,344113947849
"comp 7";0,798381960218951;6,6531830018246;72,9972969496736
"comp 8";0,792352878276184;6,60294065230154;79,6002376019751
"comp 9";0,720965459471512;6,00804549559594;85,6082830975711
"comp 10";0,68000859304968;5,66673827541401;91,2750213729851
"comp 11";0,557901998339321;4,64918331949435;95,9242046924794
"comp 12";0,489095436902469;4,07579530752058;100
