"Project";"BugNumber";"AP";"Rank";"FilePath";"IsBuggy";"ScoreH";"ScoreR";"ScoreS";"FinalScore";"ClassNames";"Comments";"EnumNames";"FieldNames";"InterfaceNames";"MethodNames";"NamespaceNames";"ParameterNames";"PropertyNames";"StringLiterals";"StructNames";"VariableNames"
"akka.net";375;0,083;6;"src/core/Akka/Dispatch/ConcurrentQueueMailbox.cs";TRUE;0,15;1;0,524;0,479;0;0,141;0;0,194;0,91;0,057;0,197;0;0,516;0,224;0;0,354
"akka.net";535;0,556;1;"src/core/Akka/Configuration/Hocon/HoconValue.cs";TRUE;0;1;0,773;0,573;0,473;0,523;0;0;0,073;0,123;0,765;0,179;0;0,148;0;0,27
"akka.net";535;0,556;3;"src/core/Akka/Configuration/Hocon/HoconParser.cs";TRUE;0;1;0,708;0,537;0,451;0,131;0;0,285;0;0,129;1,162;0,186;0,154;0,177;0;0,358
"akka.net";742;0,333;3;"src/core/Akka.Cluster/ClusterEvent.cs";TRUE;0;0;0,999;0,559;0,345;0,41;0,282;0,086;0,653;0,451;1,039;0,076;0,107;0,085;NA;0,135
"akka.net";850;0,352;1;"src/core/Akka/Dispatch/Dispatchers.cs";TRUE;0;0,018;1;0,562;0,514;0,427;0;0,15;0;0,109;0,88;0,138;0,117;0,532;0;0,569
"akka.net";850;0,352;2;"src/core/Akka/Dispatch/ForkJoinDispatcher.cs";TRUE;0;0;0,872;0,488;0,355;0,422;0,961;0,481;NA;0,449;0,6;0,716;NA;0,461;NA;NA
"akka.net";850;0,352;8;"src/core/Akka/Dispatch/AbstractDispatcher.cs";TRUE;0;0;0,647;0,362;0,652;0,423;0,772;0,025;NA;0,201;0,692;0,033;NA;NA;NA;NA
"akka.net";850;0,352;9;"src/core/Akka/Actor/ActorCell.cs";TRUE;0,042;0,196;0,535;0,34;0,16;0,159;0;0;0,244;0,35;0,653;0,322;0,175;0,153;0;0,195
"akka.net";996;0,083;4;"src/core/Akka/Routing/RouterPoolActor.cs";TRUE;0;0;0,888;0,497;0,427;0,604;NA;NA;NA;0,082;0,052;0,58;0,509;0,35;NA;0,064
"akka.net";1609;0,022;9;"src/core/Akka/Actor/ActorCell.DefaultMessages.cs";TRUE;0,001;0,269;0,632;0,392;0,063;0,083;0;0;0,471;0,217;0,002;0,029;0,094;0,298;0;0,323
"akka.net";1694;0,056;9;"src/core/Akka/Actor/Inbox.Actor.cs";TRUE;0;0;0,661;0,37;0,488;0,469;NA;0,015;0,013;0,071;0,032;0,007;0,043;0,468;0,015;0,016
"AutoMapper";469;0,5;1;"src/AutoMapper/PropertyMap.cs";TRUE;0,912;0;0,531;0,571;0,207;0,022;NA;0,293;NA;0,228;0;0,294;0,304;0,064;NA;0,068
"AutoMapper";505;0,167;3;"src/AutoMapper/ConfigurationStore.cs";TRUE;0,022;0;0,885;0,502;0,546;0,144;0,008;0,302;0,498;0,588;0;0,494;0,376;0,407;0,635;0,396
"AutoMapper";557;0,4;1;"src/AutoMapper/Mappers/TypeMapObjectMapperRegistry.cs";TRUE;0,203;0;1;0,621;0,3;0,125;NA;NA;0,606;0,23;0;0,59;0,497;NA;NA;0,519
"AutoMapper";557;0,4;10;"src/AutoMapper/ResolutionContext.cs";TRUE;0;0;0,736;0,412;0,069;0,258;NA;NA;NA;0,201;0;0,366;0,383;0,13;NA;0,108
"AutoMapper";887;0,5;1;"src/AutoMapper/ConfigurationStore.cs";TRUE;0,997;1;0,897;0,941;0,21;0;0;0,299;0,384;0,207;0;0,058;0,211;0,314;0;0,244
"AutoMapper";887;0,5;4;"src/AutoMapper/TypeMap.cs";TRUE;0,326;0,57;1;0,738;0,077;0,194;0;0,187;0;0,164;0;0,185;0,393;0,006;0;0,245
"AutoMapper";909;0,125;4;"src/AutoMapper/MappingEngine.cs";TRUE;0,241;0,227;0,624;0,454;0,08;0;0;0,28;0,078;0,127;0;0,189;0,469;0,608;0;0,254
"AutoMapper";910;0,224;1;"src/AutoMapper/ConfigurationStore.cs";TRUE;1;0,383;0,758;0,778;0,166;0;0;0,431;0,236;0,27;0;0,241;0,704;0,231;0;0,193
"AutoMapper";910;0,224;7;"src/AutoMapper/TypeMap.cs";TRUE;0,509;0,38;0,361;0,408;0,088;0,131;0;0,299;0;0,104;0;0,12;0,205;0;0;0,066
"AutoMapper";910;0,224;9;"src/AutoMapper/PropertyMap.cs";TRUE;0,007;0,198;0,577;0,353;0,302;0;0;0,13;0;0,232;0;0,475;0,241;0,356;0;0,135
"AutoMapper";910;0,224;10;"src/AutoMapper/MappingEngine.cs";TRUE;0,241;0,071;0,482;0,352;0,148;0;0;0,121;0;0,277;0;0,216;0,387;0,164;0;0,206
"AutoMapper";945;0,5;1;"src/AutoMapper/ConfigurationStore.cs";TRUE;1;1;0,574;0,761;0,214;0;0,006;0,084;0,406;0,152;0,095;0,141;0,187;0,123;0;0,205
"AutoMapper";949;1;1;"src/AutoMapper/QueryableExtensions/Extensions.cs";TRUE;0,035;0;1;0,57;0,454;0,452;NA;NA;0,5;0,959;0,046;0,253;0,737;1,316;NA;NA
"AutoMapper";950;0,083;6;"src/AutoMapper/Internal/IMappingOptionsMemberMapper.cs";TRUE;0;0;0,865;0,484;0,191;0,092;NA;0,417;0,086;0,173;0;0,015;0,111;NA;NA;0,076
"CefSharp";143;0,071;7;"CefSharp.Wpf/WebView.cs";TRUE;0;0;0,358;0,201;NA;0,004;NA;NA;NA;NA;NA;NA;0,139;NA;NA;NA
"CefSharp";145;1;1;"CefSharp.Wpf/WebView.cs";TRUE;0;1;1;0,7;0,078;0,255;NA;0;0;0,345;0,005;0,389;0,278;0,171;0;0,418
"CefSharp";146;1;1;"CefSharp.Wpf/WebView.cs";TRUE;1;1;1;1;0,707;0,276;NA;0,199;0;0,226;0;0;0;0;0;0,21
"CefSharp";166;1;1;"CefSharp.Wpf/WebView.cs";TRUE;1;1;0,517;0,729;0;0,254;NA;0,338;0;0,257;0,146;0;0,184;0,017;0;0
"CefSharp";200;0,5;2;"CefSharp.Wpf/WebView.cs";TRUE;1;1;0;0,44;0;0;NA;0;0;0;0;0;0;0;0;0
"CefSharp";213;1;1;"CefSharp.Wpf/WebView.cs";TRUE;1;1;0,798;0,887;0;0,097;NA;0;0;0,163;0,151;0;0,305;0;0;0,141
"CefSharp";522;0,25;2;"CefSharp.WinForms/ChromiumWebBrowser.cs";TRUE;1;0;0,78;0,737;0,145;0,072;NA;0,395;0,39;0,167;0,346;NA;0,162;NA;0,315;0,124
"CefSharp";553;0,333;3;"CefSharp.WinForms.Example/BrowserForm.cs";TRUE;0,085;1;0,731;0,575;0,184;0,069;NA;0,25;0;0,14;0;0;0,203;0;0;0,314
"CefSharp";553;0,333;6;"CefSharp.WinForms/ChromiumWebBrowser.cs";TRUE;0,085;1;0,28;0,322;0,174;0;NA;0,056;0,182;0,039;0;0;0,036;0;0;0,032
"corefx";4204;0,333;3;"src/Common/src/System/Net/SafeCloseSocket.cs";TRUE;0;0;1;0,56;0,139;0,164;NA;0,231;NA;0,177;0,598;0,457;NA;0,213;NA;0,296
"EntityFramework";2909;0,167;2;"src/EntityFramework.Relational/Storage/RelationalConnection.cs";TRUE;0;0;0,88;0,493;0,584;0,534;NA;0,064;0,473;0,541;0,066;NA;0,63;NA;NA;0,102
"EntityFramework";2950;0,242;1;"src/EntityFramework.Relational/Migrations/Internal/Migrator.cs";TRUE;0;0;1;0,56;0,586;0,078;NA;0,132;0,533;0,543;0,707;0,502;0,381;NA;NA;0,26
"EntityFramework";2950;0,242;3;"src/EntityFramework.Relational/Migrations/HistoryRepository.cs";TRUE;0;0;0,895;0,501;0,121;0,219;NA;0,389;0,547;0,218;0,447;0,651;0,556;0,119;NA;0,157
"EntityFramework";2950;0,242;4;"src/EntityFramework.SqlServer/Migrations/SqlServerHistoryRepository.cs";TRUE;0;0;0,86;0,482;0,41;0;NA;0,078;0,395;0,117;0,68;0,665;0,604;0,104;NA;NA
"EntityFramework";3036;0,02;7;"src/EntityFramework.Relational/Query/RelationalQueryModelVisitor.cs";TRUE;0;0;0,868;0,486;0,052;NA;NA;0,149;0,061;0,342;0,091;0,435;0,348;NA;NA;0,291
"EntityFramework";3124;0,02;5;"src/EntityFramework.Relational/Migrations/Internal/MigrationsAssembly.cs";TRUE;0;0;0,782;0,438;0,248;0;0,093;0,07;0,29;0,272;0,926;0,52;0,518;NA;NA;0,377
"EntityFramework";3164;0,067;3;"src/EntityFramework.Relational.Design/ReverseEngineering/Configuration/ModelConfiguration.cs";TRUE;0;0,064;0,908;0,518;0,028;0,177;0;0,139;0;0,049;0;0,033;0,078;0,715;0;0
"EntityFramework";3235;0,02;5;"src/EntityFramework.Relational/Query/Sql/DefaultQuerySqlGenerator.cs";TRUE;0,794;0,002;0,636;0,595;0,149;0;0;0,022;0,181;0,115;0,337;0,117;0,091;0,223;0;0,065
"EntityFramework";3388;0,25;1;"src/EntityFramework.Commands/Migrations/Design/MigrationsScaffolder.cs";TRUE;0,365;0,91;0,925;0,755;0,357;0;0;0,171;0,238;0,227;0,735;0,306;0,27;0,818;0;0,337
"EntityFramework";3422;0,19;1;"src/EntityFramework.Relational/Storage/Internal/RelationalCommand.cs";TRUE;0;0;1;0,56;0,262;NA;NA;NA;NA;0,261;NA;0,335;0,549;NA;NA;NA
"EntityFramework";3422;0,19;5;"src/EntityFramework.Relational/Storage/Internal/RelationalCommandBuilder.cs";TRUE;0;0;0,537;0,301;NA;NA;NA;0,198;NA;0,112;NA;0,461;NA;NA;NA;NA
"EntityFramework";3422;0,19;6;"src/EntityFramework.Relational/Storage/Internal/RelationalCommandBuilderFactory.cs";TRUE;0;0;0,53;0,297;NA;NA;NA;0,208;NA;NA;NA;0,576;NA;NA;NA;NA
"EntityFramework";3491;0,033;10;"src/EntityFramework.Relational/Query/ExpressionVisitors/RelationalEntityQueryableExpressionVisitor.cs";TRUE;0,149;0,055;0,668;0,426;0,285;0,151;0;0,212;0,106;0,12;0,722;0,108;0,234;0,132;0,058;0,262
"EntityFramework";3655;0,167;3;"src/Shared/Check.cs";TRUE;0,058;0;0,978;0,565;0,834;NA;NA;NA;NA;0,688;0;0,408;NA;0,095;NA;NA
"EntityFramework";3732;0,082;5;"src/EntityFramework.Relational/Query/Sql/DefaultQuerySqlGenerator.cs";TRUE;0,452;0,405;0,782;0,63;0,164;0;0;0,081;0,158;0,171;0,882;0,174;0,257;0,215;0;0,007
"EntityFramework";3732;0,082;7;"src/EntityFramework.Relational/Query/RelationalQueryModelVisitor.cs";TRUE;0,424;0,463;0,755;0,615;0,475;0;0,113;0,172;0,012;0,179;0,085;0,258;0,142;0;0;0,339
"EntityFramework";3732;0,082;9;"src/EntityFramework.Relational/Query/ExpressionVisitors/Internal/IncludeExpressionVisitor.cs";TRUE;0,358;0;0,89;0,606;0,24;0;NA;0,167;0,203;0,226;0,869;0,183;0,336;NA;NA;0,19
"EntityFramework";4018;0,167;2;"src/EntityFramework.MicrosoftSqlServer/Query/ExpressionTranslators/Internal/SqlServerStringSubstringTranslator.cs";TRUE;0;0;1;0,56;0,664;0;NA;NA;NA;NA;0,059;NA;NA;1,108;NA;NA
"EntityFramework";4080;0,033;6;"src/EntityFramework.MicrosoftSqlServer/Update/Internal/SqlServerUpdateSqlGenerator.cs";TRUE;0,251;0,142;0,664;0,467;0,009;0,005;0,018;0,086;0,022;0,288;0,029;0,021;0,064;0,399;0;0,044
"EntityFramework";4083;0,042;8;"src/EntityFramework.Relational/Query/ExpressionVisitors/Internal/IncludeExpressionVisitor.cs";TRUE;0,025;0,199;0,825;0,497;0,15;0;0;0,089;0,134;0,321;0,616;0,148;0,377;0;0;0,38
"EntityFramework";4085;0,167;2;"src/EntityFramework.Relational/Query/ExpressionVisitors/Internal/IncludeExpressionVisitor.cs";TRUE;0,025;1;0,807;0,6;0,237;0;0;0,097;0,132;0,414;0,692;0,113;0,445;0;0;0,289
"EntityFramework";4168;0,444;1;"src/EntityFramework.Sqlite.Design/SqliteTableSelectionSetExtensions.cs";TRUE;0;0;1;0,56;0,483;NA;NA;0,305;NA;NA;1,678;0,422;0,748;NA;NA;NA
"EntityFramework";4168;0,444;6;"src/EntityFramework.MicrosoftSqlServer.Design/SqlServerTableSelectionSetExtensions.cs";TRUE;0;0;0,727;0,407;0,513;NA;NA;NA;NA;NA;1,645;0,259;0,632;NA;NA;NA
"EntityFramework";4412;0,1;2;"src/Microsoft.EntityFrameworkCore.Relational/Query/ExpressionVisitors/RelationalEntityQueryableExpressionVisitor.cs";TRUE;0;0,234;0,922;0,549;0,121;0;0,108;0,148;0,102;0,056;0;0,217;0,058;0,735;0;0,265
"EntityFramework";4484;0,04;5;"src/Microsoft.EntityFrameworkCore/Properties/CoreStrings.Designer.cs";TRUE;0,246;1;0,465;0,475;0;0,381;0;0;0;0,291;0;0,104;0,147;0,416;0;0
"gitextensions";528;0,556;1;"GitUI/FormProcess.cs";TRUE;0;0;1;0,56;0,446;0,068;NA;0,427;NA;0,318;0,119;0,654;0,375;0,489;NA;0,05
"gitextensions";528;0,556;3;"GitCommands/Git/GitCommandsInstance.cs";TRUE;0;0;0,695;0,389;0,046;0,385;NA;0,311;NA;0,389;0,054;NA;0,058;NA;NA;0,214
"gitextensions";650;0,333;1;"GitUI/FormCommit.cs";TRUE;0;0,998;1;0,7;0,086;0,285;0;0,356;0;0,439;0;0,097;0,255;0,68;0;0,099
"gitextensions";660;1;1;"GitUI/FormCommit.cs";TRUE;0;1;1;0,7;0,233;0,238;0,124;0,369;0;0,363;0;0,302;0,448;0,42;0;0,308
"gitextensions";727;1;1;"GitUI/FormResolveConflicts.cs";TRUE;0;0;1;0,56;0,118;0,309;NA;0,402;NA;0,389;0;0,372;0,628;0,593;NA;0,209
"gitextensions";737;1;1;"GitUI/FormCommit.cs";TRUE;0,422;1;1;0,827;0,154;0,26;0,793;0,157;0;0,081;0,001;0,199;0,129;0,368;0;0,249
"gitextensions";926;0,105;3;"GitUI/FormBrowse.cs";TRUE;0,414;0;0,721;0,528;0,061;0,178;NA;0,202;NA;0,255;0,131;0,454;0,348;0,026;NA;0,313
"gitextensions";926;0,105;5;"GitCommands/Git/GitModule.cs";TRUE;0,228;0,302;0,519;0,401;0,075;0,148;0,037;0;0;0,237;0,196;0,187;0,386;0,059;0;0,071
"gitextensions";1018;1;1;"GitUI/FormSettings.cs";TRUE;0,726;0,005;1;0,779;0,14;0,237;0,121;0,257;0;0,245;0,301;0,028;0,105;0,548;0;0,385
"gitextensions";1040;0,489;2;"GitCommands/Git/GitModule.cs";TRUE;1;0,321;0,433;0,587;0,092;0,11;0,348;0,01;0;0,1;0;0,072;0,221;0,12;0;0,081
"gitextensions";1040;0,489;3;"GitUI/FormAddToGitIgnore.cs";TRUE;0;0;0,961;0,538;0,359;NA;NA;0,193;NA;0,269;NA;0,157;NA;0,575;NA;0,24
"gitextensions";1040;0,489;10;"GitUI/FormAddToGitIgnore.Designer.cs";TRUE;0;0,001;0,72;0,403;0,501;0,244;0;0,215;0;0,086;0;0;0;0,432;0;0
"gitextensions";1054;0,3;2;"GitUI/FormRemoteProcess.cs";TRUE;0,274;0;1;0,642;0,06;0,039;NA;0,245;NA;0,156;0;0,45;0,141;0,264;NA;0,512
"gitextensions";1054;0,3;5;"GitUI/FormRemotes.cs";TRUE;0,216;0,002;0,717;0,466;0,12;0,031;0;0,2;0;0,216;0,089;0;0,134;0,374;0;0,313
"gitextensions";1063;0,667;1;"GitCommands/Git/GitModule.cs";TRUE;1;0,034;0,676;0,683;0,31;0,184;0,312;0;0;0,05;0;0,132;0,294;0,194;0,086;0,17
"gitextensions";1063;0,667;2;"GitCommands/CommitData.cs";TRUE;0,218;0;0,972;0,61;0,39;0,113;0,676;0,078;NA;0,281;NA;0,285;0,454;0,226;0,042;0,379
"gitextensions";1089;0,288;4;"GitCommands/Strings.cs";TRUE;0;0;0,859;0,481;0,024;NA;NA;0,255;NA;0,315;0;NA;NA;0,956;NA;NA
"gitextensions";1089;0,288;5;"GitCommands/Git/GitCommandHelpers.cs";TRUE;0,523;0,035;0,518;0,452;0,106;0,104;0,028;0;0;0,198;0;0,112;0,328;0,038;0,068;0,07
"gitextensions";1089;0,288;6;"GitUI/RevisionGrid.cs";TRUE;0,115;0,002;0,734;0,446;0,049;0,413;0,173;0,038;0;0,201;0,037;0,136;0,164;0,102;0,068;0,105
"gitextensions";1092;0,2;5;"GitCommands/Git/GitCommandHelpers.cs";TRUE;0,523;0,766;0,629;0,616;0,007;0,24;0,164;0,233;0;0,13;0,001;0,164;0,076;0,063;0;0,216
"gitextensions";1104;1;1;"GitUI/FormSettings.cs";TRUE;0,673;0,161;0,675;0,602;0,015;0,072;0,12;0,131;0;0,184;0,027;0;0,176;0,122;0;0,036
"gitextensions";1128;1;1;"GitPlugin/Plugin.cs";TRUE;0,177;0,004;1;0,614;0;0,109;0;0,179;0;0,35;0,001;0,311;0;0,419;0;0
"gitextensions";1128;1;2;"GitPlugin/Connect.cs";TRUE;0,261;0,003;0,916;0,591;0,577;0,188;0;0;0;0,333;0,001;0,295;0;0,222;0;0
"gitextensions";1161;0,5;1;"GitUI/FormBrowse.cs";TRUE;0,61;0,027;0,777;0,622;0,264;0,078;0;0,075;0,521;0,119;0,001;0,062;0,155;0,155;0;0,221
"gitextensions";1180;0,029;7;"GitUI/Blame/BlameControl.cs";TRUE;0,001;1;0,496;0,418;0,352;0;0;0,235;0;0,193;0,839;0,095;0,105;0;0;0,311
"gitextensions";1199;1;1;"GitUI/FormCommit.cs";TRUE;0,227;1;1;0,768;0,262;0,266;0,204;0,158;0;0,176;0;0,222;0,136;0,271;0;0,315
"gitextensions";1209;0,05;5;"GitCommands/Git/GitModule.cs";TRUE;0,699;0,115;0,392;0,445;0,029;0,227;0;0,145;0;0,113;0,001;0,111;0,033;0,149;0;0,125
"gitextensions";1264;1;1;"GitUI/FormSettings.cs";TRUE;0,226;0,386;0,992;0,677;0,017;0,144;0;0,209;0;0,162;0,001;0,271;0,164;0,025;0;0,031
"gitextensions";1294;1;1;"GitUI/WindowPositionList.cs";TRUE;0;0;1;0,56;1,075;0,404;NA;NA;NA;NA;0,003;NA;NA;0,787;NA;0,316
"gitextensions";1294;1;2;"GitUI/GitExtensionsForm.cs";TRUE;0,167;0,002;0,809;0,504;0,81;0,339;0;0,168;0;0,332;0,09;0,272;0,4;0;0;0,387
"gitextensions";1301;0,25;2;"GitCommands/Git/GitCommandHelpers.cs";TRUE;1;0,629;0,56;0,702;0,074;0,226;0,023;0,034;0;0,115;0;0,253;0,067;0,108;0;0,111
"gitextensions";1347;0,2;5;"GitUI/Editor/XHTML2RTF.cs";TRUE;0,027;0,063;0,74;0,431;0,278;0,059;0;0;0;0;0;0,273;0;0;0,366;0,136
"gitextensions";1353;1;1;"GitCommands/SynchronizedProcessReader.cs";TRUE;0,298;0;1;0,65;0,114;0,221;NA;NA;NA;0,07;0,264;0,563;0,08;NA;NA;0,307
"gitextensions";1353;1;2;"GitCommands/Git/GitCommandHelpers.cs";TRUE;1;0,216;0,56;0,644;0,115;0,15;0,259;0,082;0;0,115;0,132;0,222;0,088;0,057;0;0,152
